Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,direction
55,0,0.19096724911677648,2025-06-03 13:10:00+00:00,2618.77365,0.30006,2025-06-03 14:50:00+00:00,2644.14,0.30296648524777997,4.241115594385563,0.008480535081754774,Long,Closed,55,LONG
56,0,0.18875831008460148,2025-06-04 10:05:00+00:00,2649.419778,0.30006,2025-06-04 11:20:00+00:00,2633.47,0.2982536081150972,-3.608966749619731,-0.007216490201199221,Long,Closed,56,LONG
57,0,0.18814604648712516,2025-06-04 15:15:00+00:00,2658.041502,0.30005999999999994,2025-06-04 17:25:00+00:00,2642.42,0.2982965256951055,-3.537480367185803,-0.007073546025166574,Long,Closed,57,LONG
58,0,0.2072753653228314,2025-06-06 00:05:00+00:00,2412.73245,0.30006,2025-06-06 02:55:00+00:00,2435.4,0.30287905482433414,4.095485652399246,0.008189333438110869,Long,Closed,58,LONG
59,0,0.20050446924461945,2025-06-07 05:40:00+00:00,2494.208742,0.30005999999999994,2025-06-07 14:30:00+00:00,2516.2,0.30270560730798685,3.806579906003463,0.007611637484510025,Long,Closed,59,LONG
60,0,0.19805980613906177,2025-06-08 00:35:00+00:00,2524.994898,0.30006,2025-06-08 02:55:00+00:00,2511.68,0.29847771233001513,-3.235683828971433,-0.006470073643214223,Long,Closed,60,LONG
61,0,0.1985710824903991,2025-06-08 08:45:00+00:00,2518.4935979999996,0.30005999999999994,2025-06-08 09:25:00+00:00,2499.4,0.2977851381459021,-4.389281561642309,-0.008776807761732274,Long,Closed,61,LONG
62,0,0.1989503380166243,2025-06-09 09:40:00+00:00,2513.692638,0.30006,2025-06-09 10:45:00+00:00,2536.82,0.3028207178923997,3.9983157694404565,0.007995032532374437,Long,Closed,62,LONG
63,0,0.19585722791513896,2025-06-09 16:15:00+00:00,2553.3905760000002,0.30005999999999994,2025-06-09 18:05:00+00:00,2577.0,0.30283444580238783,4.021181891510725,0.008040755631895071,Long,Closed,63,LONG
64,0,0.19319042393706629,2025-06-09 20:50:00+00:00,2588.637624,0.30005999999999994,2025-06-09 21:05:00+00:00,2622.59,0.3039955643478664,5.955218348762891,0.011908055086508482,Long,Closed,64,LONG
65,0,0.1894570917578587,2025-06-09 21:25:00+00:00,2639.6478239999997,0.30005999999999994,2025-06-09 22:55:00+00:00,2665.94,0.30304874352056743,4.378130457425255,0.00875451001284794,Long,Closed,65,LONG
66,0,0.1869151891020968,2025-06-09 23:35:00+00:00,2675.5450020000003,0.30006,2025-06-10 00:20:00+00:00,2713.21,0.30428409613422003,6.43581612756585,0.01286905844344301,Long,Closed,66,LONG
67,0,0.1839811308952154,2025-06-10 00:25:00+00:00,2718.213534,0.30006,2025-06-10 00:50:00+00:00,2698.49,0.2978827451456578,-4.22670083571593,-0.008451711329166027,Long,Closed,67,LONG
68,0,0.18473702684229,2025-06-10 11:10:00+00:00,2707.0913100000002,0.30006,2025-06-10 11:15:00+00:00,2745.3,0.3042951358740832,6.454204654264618,0.012905828142900656,Long,Closed,68,LONG
69,0,0.1800069842709897,2025-06-10 11:30:00+00:00,2778.225534,0.30006,2025-06-10 12:05:00+00:00,2756.96,0.29776323321344866,-4.425767877465676,-0.008849765801770998,Long,Closed,69,LONG
70,0,0.18181024828007505,2025-06-10 18:40:00+00:00,2750.670024,0.30006,2025-06-10 19:20:00+00:00,2775.7,0.30279042369060255,3.9478557273136463,0.007894132628101671,Long,Closed,70,LONG
71,0,0.17934067195362968,2025-06-10 19:30:00+00:00,2788.5475979999997,0.30005999999999994,2025-06-10 19:45:00+00:00,2768.94,0.29795013611957,-4.114449936836138,-0.00822725442278772,Long,Closed,71,LONG
72,0,0.18029387902280716,2025-06-12 06:35:00+00:00,2773.80465,0.30005999999999994,2025-06-12 07:25:00+00:00,2758.36,0.2983892544848102,-3.383025113134399,-0.006764697286811437,Long,Closed,72,LONG
73,0,0.18087827254014593,2025-06-12 14:15:00+00:00,2764.842858,0.30006,2025-06-12 15:25:00+00:00,2748.61,0.2982982972119423,-3.5345296106414397,-0.00706764569214445,Long,Closed,73,LONG
74,0,0.1974216729512566,2025-06-15 13:05:00+00:00,2533.15653,0.30006000000000005,2025-06-15 20:15:00+00:00,2516.39,0.29807395415868754,-3.908210356346207,-0.007814857741144184,Long,Closed,74,LONG
75,0,0.19254467036352432,2025-06-16 05:25:00+00:00,2597.31936,0.30005999999999994,2025-06-16 07:00:00+00:00,2624.74,0.30322781885397404,4.676410271102836,0.009350950352135245,Long,Closed,75,LONG
76,0,0.19068685404828192,2025-06-16 13:40:00+00:00,2622.6244199999996,0.30005999999999994,2025-06-16 14:30:00+00:00,2655.25,0.3037927615270203,5.617416450173566,0.011232586383070519,Long,Closed,76,LONG
77,0,0.18937959245511704,2025-06-16 17:15:00+00:00,2640.72804,0.30006,2025-06-16 19:25:00+00:00,2665.89,0.30291909703810316,4.1621826331338365,0.008322700726122447,Long,Closed,77,LONG
78,0,0.19328825851144846,2025-06-17 06:05:00+00:00,2587.327362,0.30005999999999994,2025-06-17 07:25:00+00:00,2570.31,0.2980864462407366,-3.88740271167963,-0.00777325077320462,Long,Closed,78,LONG
79,0,0.19717565590481936,2025-06-18 20:50:00+00:00,2536.317162,0.30005999999999994,2025-06-18 21:05:00+00:00,2515.94,0.2976492718303027,-4.615589554659045,-0.009229333242669556,Long,Closed,79,LONG
80,0,0.19786307874950534,2025-06-19 00:20:00+00:00,2527.5054,0.30006,2025-06-19 01:05:00+00:00,2512.5,0.29827859121487926,-3.567353233082709,-0.007133279810203377,Long,Closed,80,LONG
81,0,0.19766517890675342,2025-06-19 08:45:00+00:00,2530.035906,0.30005999999999994,2025-06-19 13:40:00+00:00,2516.86,0.2984973493099508,-3.2029751660584878,-0.0064046693982373285,Long,Closed,81,LONG
82,0,0.19756208388486082,2025-06-20 00:05:00+00:00,2531.35617,0.30006,2025-06-20 01:25:00+00:00,2517.27,0.2983902641405061,-3.381343363296917,-0.006761334459701894,Long,Closed,82,LONG
83,0,0.1967404049704496,2025-06-20 07:30:00+00:00,2541.928284,0.30006,2025-06-20 08:10:00+00:00,2565.42,0.3028330618315745,4.018876657459222,0.008036146085701303,Long,Closed,83,LONG
84,0,0.19560973510529672,2025-06-20 12:35:00+00:00,2556.621222,0.30006,2025-06-20 13:45:00+00:00,2537.08,0.2977665280445677,-4.420279787098384,-0.0088387918158336,Long,Closed,84,LONG
85,0,0.20570629255548928,2025-06-21 01:40:00+00:00,2431.13613,0.30005999999999994,2025-06-21 02:25:00+00:00,2418.39,0.2984868245119618,-3.2205059712422237,-0.006439723997684911,Long,Closed,85,LONG
